"id_new","buy","age","gender","tenure","region","dl","has_v_insurance","v_age","v_accident","v_prem_quote","cs_rep"
"a00002958",0,37,"male",111,28,1,0,"1-2 year","no",44355.0,122
"a00002959",0,42,"female",269,0,1,0,"1-2 year","yes",2630.0,122
"a00002960",1,41,"male",224,29,1,0,"1-2 year","yes",22445.0,154
"a00002961",0,23,"female",156,52,1,1,"< 1 year","no",50571.0,151
"a00002962",0,25,"female",103,36,1,1,"< 1 year","no",38611.0,151
"a00002963",0,41,"male",190,8,1,0,"1-2 year","yes",19330.0,154
"a00002964",0,21,"male",76,24,1,0,"< 1 year","yes",40949.0,163
"a00002965",0,39,"male",31,45,1,1,"1-2 year","no",23685.0,151
"a00002966",0,31,"female",115,28,1,1,"< 1 year","no",54330.0,151
"a00002967",0,24,"female",193,3,1,0,"< 1 year","yes",2630.0,151
"a00002968",0,55,"male",230,8,1,1,"1-2 year","no",33454.0,154
"a00002969",0,68,"female",260,28,1,0,"1-2 year","yes",44110.0,122
"a00002970",0,27,"male",299,18,1,1,"< 1 year","yes",39989.0,154
"a00002971",0,36,"female",87,28,1,0,"1-2 year","no",23564.0,122
"a00002972",0,38,"male",139,28,1,0,"1-2 year","yes",42442.0,122
"a00002973",0,23,"male",161,15,1,0,"< 1 year","yes",32631.0,151
"a00002974",0,21,"female",60,41,1,0,"< 1 year","yes",2630.0,154
"a00002975",0,36,"male",235,50,1,0,"1-2 year","yes",33408.0,163
"a00002976",0,29,"female",234,30,1,0,"1-2 year","yes",27601.0,154
"a00002977",0,23,"female",19,16,1,1,"< 1 year","yes",28026.0,151
"a00002978",0,47,"female",185,28,1,0,"1-2 year","yes",37916.0,122
"a00002979",0,75,"female",136,28,1,1,"1-2 year","no",28972.0,122
"a00002980",0,66,"male",210,28,1,0,"1-2 year","yes",25191.0,122
"a00002981",1,38,"female",161,11,1,0,"1-2 year","yes",2630.0,163
"a00002982",0,23,"female",133,10,1,0,"< 1 year","yes",27639.0,151
"a00002983",0,29,"male",252,6,1,0,"1-2 year","yes",27993.0,154
"a00002984",0,67,"male",281,28,1,0,"1-2 year","yes",37473.0,122
"a00002985",0,25,"female",239,36,1,1,"< 1 year","no",31717.0,151
"a00002986",0,31,"male",221,36,1,0,"< 1 year","yes",25264.0,151
"a00002987",0,23,"male",97,17,1,1,"< 1 year","no",40000.0,151
"a00002988",0,36,"female",99,28,1,0,"1-2 year","yes",34778.0,122
"a00002989",0,48,"female",233,3,1,1,"1-2 year","no",24958.0,154
"a00002990",0,21,"male",139,28,1,0,"> 2 years","yes",28566.0,154
"a00002991",0,76,"female",181,28,1,0,"1-2 year","yes",36932.0,122
"a00002992",0,32,"female",239,28,1,1,"1-2 year","no",40961.0,122
"a00002993",0,40,"female",198,28,1,0,"1-2 year","yes",46904.0,154
"a00002994",1,41,"female",222,28,1,0,"1-2 year","yes",28135.0,122
"a00002995",0,34,"female",257,28,1,1,"1-2 year","no",79096.0,122
"a00002996",0,77,"male",233,28,1,0,"1-2 year","yes",49244.0,122
"a00002997",0,49,"male",85,28,1,0,"1-2 year","yes",48038.0,122
"a00002998",0,38,"male",75,3,1,0,"1-2 year","yes",2630.0,163
"a00002999",0,76,"female",41,28,1,1,"1-2 year","yes",61865.0,122
"a00003000",0,53,"female",142,28,1,0,"> 2 years","yes",2630.0,122
"a00003001",0,29,"male",136,28,1,0,"1-2 year","yes",45172.0,122
"a00003002",0,71,"male",67,28,1,1,"1-2 year","no",41231.0,122
"a00003003",0,75,"male",236,28,1,1,"1-2 year","no",78523.0,122
"a00003004",0,27,"male",10,35,1,1,"< 1 year","no",32513.0,151
"a00003005",0,49,"male",148,8,1,0,"> 2 years","yes",27653.0,154
"a00003006",0,25,"female",177,28,1,0,"< 1 year","yes",69856.0,122
"a00003007",0,77,"male",284,28,1,0,"1-2 year","yes",43468.0,122
"a00003008",0,24,"female",113,15,1,1,"< 1 year","yes",33101.0,151
"a00003009",0,23,"female",180,17,1,0,"< 1 year","yes",41719.0,151
"a00003010",0,23,"male",228,13,1,0,"< 1 year","no",14073.0,151
"a00003011",0,28,"male",173,15,1,0,"< 1 year","no",28869.0,151
"a00003012",1,33,"male",231,28,1,0,"< 1 year","yes",33171.0,122
"a00003013",0,24,"female",282,27,1,0,"< 1 year","yes",51554.0,151
"a00003014",0,34,"male",145,18,1,0,"< 1 year","yes",21493.0,163
"a00003015",0,79,"female",143,28,1,0,"1-2 year","yes",34274.0,122
"a00003016",0,65,"male",254,28,1,0,"> 2 years","yes",41403.0,122
"a00003017",0,78,"female",172,28,1,0,"1-2 year","yes",27678.0,122
"a00003018",0,24,"female",52,14,1,1,"< 1 year","no",24520.0,151
"a00003019",0,55,"male",75,32,1,0,"1-2 year","yes",2630.0,154
"a00003020",0,24,"female",246,16,1,1,"< 1 year","no",32702.0,151
"a00003021",0,69,"female",50,28,1,0,"1-2 year","yes",33144.0,122
"a00003022",0,55,"female",173,28,1,0,"1-2 year","yes",2630.0,122
"a00003023",0,26,"female",296,41,1,1,"< 1 year","no",36826.0,151
"a00003024",0,35,"male",145,35,1,0,"1-2 year","yes",2630.0,163
"a00003025",0,28,"male",164,23,1,0,"1-2 year","no",30397.0,154
"a00003026",0,37,"male",223,28,1,0,"1-2 year","yes",32669.0,154
"a00003027",0,60,"male",130,0,1,1,"1-2 year","no",2630.0,122
"a00003028",1,38,"female",28,28,1,0,"1-2 year","yes",30773.0,122
"a00003029",0,26,"female",259,45,1,1,"< 1 year","no",35401.0,151
"a00003030",0,58,"male",202,28,1,0,"1-2 year","yes",20971.0,122
"a00003031",0,67,"male",12,28,1,0,"1-2 year","no",35943.0,154
"a00003032",0,40,"female",212,13,1,0,"1-2 year","yes",19886.0,154
"a00003033",0,68,"female",252,28,1,1,"1-2 year","no",50462.0,122
"a00003034",1,45,"female",45,8,1,0,"1-2 year","yes",37633.0,154
"a00003035",0,60,"male",265,28,1,0,"1-2 year","yes",31766.0,122
"a00003036",0,24,"female",298,15,1,1,"< 1 year","no",29924.0,151
"a00003037",0,40,"female",57,46,1,0,"1-2 year","yes",24428.0,154
"a00003038",0,65,"male",66,28,1,0,"1-2 year","yes",60756.0,122
"a00003039",0,24,"male",121,33,1,0,"1-2 year","yes",2630.0,122
"a00003040",0,34,"female",117,28,1,1,"1-2 year","no",43046.0,122
"a00003041",1,21,"female",204,28,1,0,"< 1 year","yes",2630.0,163
"a00003042",0,51,"male",194,15,1,0,"1-2 year","yes",32803.0,154
"a00003043",0,23,"female",77,40,1,1,"< 1 year","no",38053.0,151
"a00003044",1,47,"male",89,38,1,0,"1-2 year","yes",30705.0,163
"a00003045",0,48,"female",226,28,1,0,"1-2 year","yes",48649.0,122
"a00003046",0,78,"male",53,28,1,0,"1-2 year","yes",2630.0,122
"a00003047",0,43,"male",76,27,1,0,"1-2 year","yes",2630.0,154
"a00003048",0,41,"female",37,33,1,0,"1-2 year","yes",20696.0,154
"a00003049",0,23,"female",203,7,1,1,"< 1 year","no",49232.0,151
"a00003050",0,40,"male",65,28,1,0,"1-2 year","yes",2630.0,154
"a00003051",0,31,"female",177,41,1,0,"< 1 year","yes",2630.0,154
"a00003052",0,23,"female",266,8,1,1,"< 1 year","no",29522.0,151
"a00003053",0,28,"male",17,35,1,0,"< 1 year","yes",33908.0,154
"a00003054",0,41,"male",70,0,1,0,"1-2 year","yes",2630.0,122
"a00003055",0,65,"female",28,28,1,1,"1-2 year","no",39467.0,122
"a00003056",0,23,"male",207,28,1,0,"1-2 year","no",2630.0,122
"a00003057",0,40,"male",204,28,1,0,"1-2 year","yes",28207.0,122
"a00003058",0,32,"female",178,28,1,1,"1-2 year","no",46739.0,154
"a00003059",1,44,"male",164,33,1,0,"1-2 year","yes",2630.0,154
"a00003060",0,23,"male",163,37,1,0,"< 1 year","yes",2630.0,151
"a00003061",0,23,"female",294,28,1,1,"< 1 year","no",46825.0,151
"a00003062",0,43,"male",236,41,1,1,"1-2 year","no",36257.0,122
"a00003063",0,32,"female",272,28,1,1,"< 1 year","no",63684.0,151
"a00003064",0,37,"male",252,29,1,0,"1-2 year","no",30120.0,154
"a00003065",0,54,"male",151,6,1,0,"1-2 year","yes",22067.0,154
"a00003066",0,44,"female",148,28,1,0,"1-2 year","yes",22634.0,122
"a00003067",0,48,"male",108,28,1,0,"1-2 year","yes",72469.0,154
"a00003068",0,23,"female",193,13,1,0,"< 1 year","no",29728.0,122
"a00003069",0,28,"female",84,39,1,0,"< 1 year","yes",29035.0,151
"a00003070",1,31,"male",174,15,1,0,"1-2 year","yes",2630.0,154
"a00003071",0,44,"male",50,28,1,1,"1-2 year","no",41113.0,122
"a00003072",0,75,"female",102,28,1,0,"> 2 years","yes",2630.0,122
"a00003073",0,34,"male",200,48,1,0,"1-2 year","yes",2630.0,163
"a00003074",0,34,"male",147,10,1,0,"1-2 year","yes",34542.0,154
"a00003075",0,29,"male",188,28,1,1,"< 1 year","no",32219.0,154
"a00003076",1,47,"female",254,28,1,0,"1-2 year","yes",35147.0,122
"a00003077",1,63,"male",173,28,1,0,"> 2 years","yes",35518.0,122
"a00003078",0,23,"male",154,11,1,1,"< 1 year","no",25465.0,151
"a00003079",1,41,"male",131,28,1,0,"1-2 year","yes",30908.0,122
"a00003080",0,45,"female",145,28,1,0,"1-2 year","yes",45840.0,154
"a00003081",1,44,"male",115,28,1,0,"1-2 year","yes",46903.0,154
"a00003082",0,79,"female",109,28,1,0,"1-2 year","yes",36556.0,122
"a00003083",0,28,"male",126,28,1,0,"< 1 year","yes",71409.0,122
"a00003084",0,29,"female",122,35,1,1,"1-2 year","no",28991.0,154
"a00003085",0,24,"female",226,27,1,0,"< 1 year","yes",38170.0,151
"a00003086",0,24,"female",167,13,1,1,"< 1 year","no",29515.0,151
"a00003087",0,24,"female",268,28,1,0,"< 1 year","yes",39703.0,122
"a00003088",0,28,"male",130,28,1,1,"< 1 year","no",54363.0,122
"a00003089",0,68,"male",198,46,1,1,"1-2 year","no",32271.0,122
"a00003090",1,47,"female",50,46,1,0,"1-2 year","yes",37288.0,163
"a00003091",0,63,"male",87,28,1,0,"1-2 year","yes",27650.0,154
"a00003092",0,40,"female",148,25,1,1,"1-2 year","no",2630.0,151
"a00003093",0,73,"male",237,28,1,0,"1-2 year","yes",50834.0,122
"a00003094",0,45,"male",135,28,1,0,"1-2 year","yes",30358.0,122
"a00003095",0,24,"male",221,45,1,1,"< 1 year","no",23183.0,151
"a00003096",0,24,"female",50,15,1,0,"< 1 year","no",2630.0,151
"a00003097",0,48,"female",273,28,1,1,"1-2 year","no",34253.0,122
"a00003098",1,51,"female",71,28,1,0,"1-2 year","yes",58308.0,122
"a00003099",0,67,"female",189,33,1,0,"1-2 year","yes",38893.0,163
"a00003100",0,21,"male",185,28,1,0,"< 1 year","yes",32647.0,163
"a00003101",0,52,"female",93,18,1,1,"1-2 year","no",42753.0,122
"a00003102",0,45,"female",234,31,1,0,"1-2 year","yes",2630.0,154
"a00003103",0,41,"female",238,45,1,0,"1-2 year","yes",32559.0,122
"a00003104",0,58,"male",81,24,1,0,"1-2 year","yes",34526.0,154
"a00003105",0,51,"male",297,29,1,1,"1-2 year","no",26184.0,122
"a00003106",0,59,"female",117,28,1,1,"1-2 year","no",54155.0,122
"a00003107",1,67,"female",243,28,1,0,"> 2 years","yes",27146.0,122
"a00003108",1,33,"male",145,28,1,0,"1-2 year","no",35500.0,154
"a00003109",0,53,"male",63,8,1,0,"1-2 year","no",46022.0,154
"a00003110",0,35,"male",87,0,1,1,"1-2 year","no",2630.0,151
"a00003111",0,24,"female",43,36,1,0,"< 1 year","yes",31057.0,151
"a00003112",0,20,"female",286,28,1,0,"1-2 year","yes",50285.0,122
"a00003113",0,69,"female",199,31,1,0,"1-2 year","yes",2630.0,154
"a00003114",0,25,"female",187,6,1,1,"< 1 year","no",21897.0,151
"a00003115",0,61,"male",13,28,1,0,"1-2 year","yes",51677.0,122
"a00003116",0,51,"male",61,30,1,0,"1-2 year","yes",2630.0,154
"a00003117",0,38,"male",25,5,1,0,"1-2 year","yes",36535.0,154
"a00003118",0,56,"male",78,28,1,1,"1-2 year","no",43452.0,122
"a00003119",0,23,"female",43,14,1,1,"< 1 year","no",19585.0,151
"a00003120",0,71,"male",241,28,1,0,"1-2 year","yes",37110.0,122
"a00003121",0,40,"male",249,29,1,0,"1-2 year","yes",48202.0,154
"a00003122",0,26,"female",157,28,1,0,"< 1 year","yes",2630.0,163
"a00003123",0,69,"female",106,28,1,1,"1-2 year","no",25133.0,122
"a00003124",0,53,"male",60,6,1,0,"1-2 year","yes",30466.0,163
"a00003125",1,61,"male",241,28,1,0,"1-2 year","yes",2630.0,163
"a00003126",0,21,"female",195,8,1,0,"1-2 year","yes",50277.0,154
"a00003127",0,23,"female",145,49,1,0,"< 1 year","yes",2630.0,151
"a00003128",0,24,"female",189,31,1,1,"< 1 year","no",2630.0,151
"a00003129",1,52,"female",217,12,1,0,"1-2 year","yes",2630.0,154
"a00003130",0,31,"male",170,8,1,1,"1-2 year","no",35135.0,154
"a00003131",0,23,"female",271,25,1,0,"< 1 year","no",28104.0,151
"a00003132",0,49,"male",242,8,1,1,"1-2 year","yes",2630.0,154
"a00003133",0,62,"male",278,28,1,0,"1-2 year","yes",35277.0,122
"a00003134",0,55,"male",262,8,1,0,"1-2 year","yes",54991.0,163
"a00003135",0,25,"female",101,15,1,1,"< 1 year","no",36899.0,151
"a00003136",1,24,"female",119,49,1,0,"< 1 year","yes",29155.0,151
"a00003137",1,49,"male",214,28,1,0,"1-2 year","yes",49426.0,122
"a00003138",1,54,"female",194,39,1,0,"1-2 year","yes",50567.0,163
"a00003139",0,76,"male",113,28,1,0,"1-2 year","yes",2630.0,163
"a00003140",0,30,"female",167,28,1,1,"< 1 year","no",31393.0,154
"a00003141",0,64,"female",278,28,1,0,"1-2 year","no",33156.0,122
"a00003142",0,24,"male",126,50,1,1,"< 1 year","no",36361.0,151
"a00003143",0,24,"male",102,11,1,1,"< 1 year","no",18138.0,151
"a00003144",0,45,"male",21,2,1,0,"1-2 year","yes",28307.0,122
"a00003145",0,55,"male",76,8,1,0,"1-2 year","yes",35639.0,154
"a00003146",0,41,"male",240,50,1,0,"> 2 years","yes",2630.0,163
"a00003147",0,28,"male",261,17,1,1,"< 1 year","no",38099.0,151
"a00003148",0,22,"female",196,28,1,0,"1-2 year","yes",31662.0,122
"a00003149",0,70,"female",126,28,1,1,"1-2 year","no",52043.0,122
"a00003150",1,36,"female",30,33,1,0,"1-2 year","yes",60962.0,122
"a00003151",1,22,"male",258,41,1,0,"1-2 year","yes",2630.0,163
"a00003152",1,58,"female",191,28,1,0,"1-2 year","yes",22919.0,122
"a00003153",0,23,"female",200,37,1,1,"< 1 year","no",53087.0,151
"a00003154",0,26,"female",298,46,1,0,"< 1 year","no",24648.0,151
"a00003155",0,36,"female",206,28,1,0,"1-2 year","yes",39273.0,154
"a00003156",1,43,"female",18,28,1,0,"> 2 years","yes",2630.0,122
"a00003157",1,43,"male",273,33,1,0,"> 2 years","yes",29715.0,122
"a00003158",0,75,"male",261,28,1,0,"1-2 year","yes",59565.0,122
"a00003159",0,41,"female",285,29,1,0,"1-2 year","yes",24718.0,163
"a00003160",1,38,"male",140,15,1,0,"1-2 year","yes",2630.0,163
"a00003161",1,49,"female",89,28,1,0,"1-2 year","yes",39800.0,122
"a00003162",0,67,"female",156,28,1,0,"1-2 year","yes",2630.0,122
"a00003163",0,46,"male",182,3,1,1,"1-2 year","no",38940.0,154
"a00003164",0,23,"male",172,12,1,1,"< 1 year","no",30948.0,151
"a00003165",0,23,"male",115,24,1,0,"< 1 year","yes",27224.0,151
"a00003166",0,51,"male",298,28,1,1,"< 1 year","no",2630.0,154
"a00003167",0,74,"female",82,28,1,0,"1-2 year","yes",39775.0,122
"a00003168",0,44,"female",154,28,1,1,"1-2 year","no",38442.0,122
"a00003169",0,23,"female",122,15,1,0,"< 1 year","yes",24500.0,151
"a00003170",0,24,"male",25,13,1,1,"< 1 year","no",23773.0,151
"a00003171",0,73,"female",84,28,1,0,"1-2 year","yes",51281.0,122
"a00003172",0,24,"male",124,5,1,0,"< 1 year","yes",22819.0,151
"a00003173",0,23,"female",169,24,1,0,"< 1 year","yes",27744.0,151
"a00003174",0,59,"female",126,28,1,0,"1-2 year","yes",33131.0,122
"a00003175",0,36,"male",43,28,1,0,"1-2 year","yes",38188.0,154
"a00003176",1,47,"male",272,28,1,0,"1-2 year","yes",27179.0,163
"a00003177",0,64,"female",17,28,1,0,"1-2 year","yes",65122.0,122
"a00003178",0,28,"female",23,8,1,1,"< 1 year","no",2630.0,151
"a00003179",0,25,"male",64,27,1,0,"< 1 year","no",25464.0,151
"a00003180",0,29,"female",267,28,1,1,"< 1 year","yes",31165.0,154
"a00003181",0,25,"female",244,28,1,1,"< 1 year","no",38501.0,154
"a00003182",1,62,"female",194,28,1,0,"1-2 year","yes",50511.0,122
"a00003183",0,73,"female",201,28,1,1,"1-2 year","no",46577.0,122
"a00003184",0,25,"female",211,45,1,1,"< 1 year","no",23687.0,151
"a00003185",0,52,"female",156,28,1,0,"1-2 year","yes",72602.0,122
"a00003186",0,70,"male",108,28,1,0,"1-2 year","yes",31781.0,122
"a00003187",0,52,"female",176,28,1,1,"1-2 year","no",45707.0,122
"a00003188",0,32,"female",223,28,1,0,"1-2 year","yes",53460.0,122
"a00003189",1,57,"male",293,28,1,0,"> 2 years","yes",49972.0,122
"a00003190",0,72,"female",196,28,1,0,"1-2 year","yes",2630.0,122
"a00003191",0,55,"female",287,28,1,1,"1-2 year","no",42957.0,122
"a00003192",0,77,"female",266,28,1,0,"1-2 year","yes",63520.0,122
"a00003193",0,44,"male",12,28,1,1,"1-2 year","yes",55942.0,122
"a00003194",0,74,"female",21,28,1,0,"1-2 year","yes",48910.0,122
"a00003195",0,55,"female",106,28,1,1,"1-2 year","no",54455.0,122
"a00003196",0,36,"female",212,22,1,0,"1-2 year","yes",30445.0,154
"a00003197",1,30,"male",124,47,1,0,"1-2 year","yes",32862.0,154
"a00003198",0,48,"male",126,37,1,0,"1-2 year","yes",2630.0,154
"a00003199",0,39,"male",183,46,1,0,"1-2 year","yes",33986.0,163
"a00003200",0,27,"male",286,28,1,1,"1-2 year","no",48087.0,122
"a00003201",0,37,"male",17,28,1,1,"1-2 year","no",28742.0,122
"a00003202",1,33,"male",176,14,1,0,"< 1 year","yes",27394.0,154
"a00003203",0,40,"female",91,48,1,0,"1-2 year","yes",2630.0,154
"a00003204",1,39,"male",239,28,1,0,"1-2 year","yes",34086.0,122
"a00003205",1,37,"male",174,3,1,0,"1-2 year","yes",34532.0,154
"a00003206",0,37,"female",152,28,1,1,"1-2 year","yes",34814.0,154
"a00003207",0,26,"female",204,3,1,1,"< 1 year","no",20774.0,151
"a00003208",1,29,"male",42,3,1,0,"< 1 year","yes",2630.0,154
"a00003209",0,22,"male",53,28,1,0,"< 1 year","yes",38529.0,163
"a00003210",0,33,"male",241,28,1,0,"< 1 year","yes",37926.0,122
"a00003211",0,54,"female",238,28,1,0,"1-2 year","no",26029.0,122
"a00003212",0,23,"female",264,11,1,1,"< 1 year","no",31985.0,151
"a00003213",0,31,"male",131,31,1,0,"1-2 year","yes",2630.0,163
"a00003214",0,30,"female",228,9,1,0,"< 1 year","yes",35821.0,151
"a00003215",0,39,"female",42,28,1,0,"1-2 year","yes",40377.0,122
"a00003216",1,38,"female",216,28,1,0,"1-2 year","yes",33362.0,122
"a00003217",0,61,"male",173,4,1,0,"1-2 year","yes",2630.0,154
"a00003218",0,23,"female",64,46,1,0,"< 1 year","yes",2630.0,151
"a00003219",0,58,"male",105,28,1,1,"1-2 year","no",47213.0,122
"a00003220",0,56,"female",282,28,1,1,"1-2 year","yes",26633.0,163
"a00003221",0,32,"female",291,30,1,0,"1-2 year","yes",27247.0,154
"a00003222",0,49,"male",72,48,1,0,"> 2 years","yes",2630.0,154
"a00003223",0,28,"male",206,14,1,1,"< 1 year","no",34874.0,151
"a00003224",0,24,"female",97,8,1,1,"< 1 year","no",52176.0,151
"a00003225",0,37,"male",38,3,1,0,"1-2 year","yes",21341.0,154
"a00003226",1,42,"female",28,14,1,0,"1-2 year","yes",2630.0,154
"a00003227",0,51,"female",207,28,1,1,"1-2 year","no",42714.0,122
"a00003228",0,53,"male",167,28,1,0,"1-2 year","yes",40998.0,163
"a00003229",0,23,"male",23,29,1,1,"< 1 year","no",28274.0,151
"a00003230",0,45,"male",21,11,1,0,"1-2 year","no",38640.0,163
"a00003231",0,63,"female",100,28,1,1,"1-2 year","no",44055.0,122
"a00003232",0,42,"male",48,49,1,0,"1-2 year","yes",27651.0,154
"a00003233",0,32,"female",226,28,1,0,"< 1 year","yes",76107.0,154
"a00003234",0,43,"male",226,39,1,0,"> 2 years","yes",31660.0,154
"a00003235",0,53,"male",136,28,1,1,"1-2 year","no",38535.0,122
"a00003236",0,33,"male",206,41,1,1,"1-2 year","no",21136.0,154
"a00003237",0,37,"male",254,30,1,1,"1-2 year","no",22390.0,151
"a00003238",1,48,"male",176,28,1,0,"1-2 year","yes",2630.0,122
"a00003239",0,47,"female",40,28,1,0,"1-2 year","no",46718.0,122
"a00003240",0,22,"male",292,39,1,0,"1-2 year","yes",26629.0,154
"a00003241",0,67,"male",280,28,1,0,"1-2 year","yes",30115.0,122
"a00003242",0,48,"male",28,11,1,1,"1-2 year","no",42243.0,122
"a00003243",0,31,"female",207,38,1,0,"< 1 year","no",2630.0,154
"a00003244",0,23,"female",39,13,1,1,"< 1 year","no",22694.0,151
"a00003245",0,48,"female",72,28,1,1,"1-2 year","no",2630.0,122
"a00003246",0,43,"male",231,20,1,0,"1-2 year","yes",2630.0,154
"a00003247",1,77,"male",215,28,1,0,"1-2 year","yes",53248.0,122
"a00003248",0,24,"female",215,8,1,1,"< 1 year","no",33864.0,151
"a00003249",0,23,"male",290,37,1,0,"< 1 year","no",43295.0,151
"a00003250",0,52,"male",207,28,1,0,"1-2 year","yes",43481.0,122
"a00003251",0,45,"female",52,28,1,0,"1-2 year","yes",59267.0,154
"a00003252",0,36,"male",272,14,1,0,"1-2 year","yes",2630.0,154
"a00003253",0,72,"female",37,28,1,0,"1-2 year","yes",30737.0,122
"a00003254",0,24,"male",131,28,1,0,"< 1 year","yes",32742.0,163
"a00003255",1,63,"female",164,3,1,0,"1-2 year","yes",14680.0,154
"a00003256",0,30,"female",190,16,1,1,"< 1 year","no",26567.0,151
"a00003257",0,56,"male",239,28,1,0,"1-2 year","yes",31296.0,122
"a00003258",1,29,"male",184,12,1,0,"< 1 year","yes",21368.0,154
"a00003259",0,25,"female",143,37,1,0,"< 1 year","yes",30038.0,154
"a00003260",0,34,"female",260,20,1,0,"1-2 year","no",2630.0,154
"a00003261",0,26,"male",283,28,1,1,"< 1 year","no",40361.0,151
"a00003262",0,71,"female",98,28,1,1,"1-2 year","no",37794.0,122
"a00003263",0,35,"female",287,28,1,0,"1-2 year","yes",41322.0,163
"a00003264",0,31,"male",86,28,1,1,"1-2 year","no",2630.0,122
"a00003265",0,38,"male",90,28,1,0,"1-2 year","yes",34598.0,122
"a00003266",0,50,"male",55,0,1,1,"1-2 year","no",2630.0,122
"a00003267",0,36,"female",216,15,1,0,"1-2 year","yes",43306.0,122
"a00003268",0,25,"female",181,45,1,1,"< 1 year","no",26296.0,151
"a00003269",0,70,"female",237,35,1,0,"1-2 year","yes",39656.0,122
"a00003270",0,35,"female",173,30,1,0,"1-2 year","yes",21832.0,154
"a00003271",0,25,"female",121,36,1,1,"< 1 year","no",36374.0,151
"a00003272",0,40,"female",149,28,1,0,"1-2 year","yes",24003.0,122
"a00003273",0,23,"male",254,26,1,0,"< 1 year","yes",27261.0,151
"a00003274",0,23,"male",67,12,1,1,"< 1 year","no",29849.0,151
"a00003275",0,54,"male",32,41,1,0,"1-2 year","yes",40672.0,154
"a00003276",0,66,"male",131,28,1,0,"1-2 year","yes",34097.0,122
"a00003277",0,78,"female",251,48,1,1,"1-2 year","no",2630.0,122
"a00003278",0,42,"male",261,8,1,0,"1-2 year","yes",2630.0,154
"a00003279",0,32,"female",252,41,1,1,"< 1 year","no",80194.0,151
"a00003280",0,24,"female",10,47,1,0,"< 1 year","yes",24476.0,151
"a00003281",0,75,"male",163,28,1,0,"1-2 year","yes",58686.0,122
"a00003282",0,28,"male",186,50,1,0,"< 1 year","yes",30483.0,154
"a00003283",0,78,"male",54,33,1,1,"1-2 year","no",23286.0,154
"a00003284",0,27,"female",113,15,1,1,"< 1 year","no",39992.0,151
"a00003285",0,38,"female",57,41,1,0,"1-2 year","yes",32982.0,122
"a00003286",1,47,"female",251,28,1,0,"1-2 year","yes",41739.0,122
"a00003287",0,62,"female",33,33,1,1,"1-2 year","no",22481.0,154
"a00003288",0,51,"male",129,11,1,0,"1-2 year","yes",2630.0,154
"a00003289",0,28,"female",109,2,1,1,"< 1 year","no",23516.0,151
"a00003290",1,39,"female",151,28,1,0,"1-2 year","yes",2630.0,154
"a00003291",0,39,"male",183,28,1,0,"1-2 year","yes",23465.0,122
"a00003292",0,55,"male",40,28,1,1,"1-2 year","yes",42993.0,163
"a00003293",1,49,"male",142,8,1,0,"1-2 year","yes",33393.0,154
"a00003294",0,43,"male",201,15,1,0,"> 2 years","yes",27727.0,154
"a00003295",0,63,"male",50,41,1,0,"1-2 year","yes",2630.0,163
"a00003296",0,60,"female",156,28,1,0,"1-2 year","yes",38012.0,122
"a00003297",0,43,"female",124,28,1,0,"1-2 year","yes",2630.0,122
"a00003298",0,22,"male",11,28,1,0,"< 1 year","yes",62755.0,151
"a00003299",0,30,"male",191,48,1,0,"1-2 year","no",2630.0,154
"a00003300",0,42,"female",145,8,1,0,"1-2 year","no",45012.0,154
"a00003301",1,41,"female",201,29,1,0,"1-2 year","yes",30033.0,122
"a00003302",0,29,"male",79,8,1,1,"< 1 year","no",2630.0,151
"a00003303",0,27,"female",249,8,1,1,"< 1 year","no",63901.0,151
"a00003304",0,36,"female",234,28,1,0,"1-2 year","yes",55638.0,122
"a00003305",0,46,"female",182,28,1,0,"1-2 year","yes",95641.0,122
"a00003306",0,58,"male",216,41,1,0,"1-2 year","yes",34226.0,154
"a00003307",0,39,"male",31,28,1,0,"1-2 year","yes",33318.0,122
"a00003308",0,24,"female",253,14,1,1,"1-2 year","no",43603.0,122
"a00003309",0,24,"male",135,28,1,0,"< 1 year","yes",35914.0,154
"a00003310",0,29,"male",221,12,1,0,"1-2 year","yes",23867.0,154
"a00003311",0,21,"female",253,39,1,0,"< 1 year","yes",2630.0,163
"a00003312",0,46,"male",176,47,1,0,"1-2 year","yes",33634.0,122
"a00003313",0,43,"male",229,41,1,0,"1-2 year","yes",2630.0,163
"a00003314",0,62,"female",244,28,1,0,"1-2 year","yes",42993.0,154
"a00003315",0,21,"female",50,28,1,0,"1-2 year","yes",37105.0,154
"a00003316",0,23,"female",252,8,1,1,"< 1 year","no",30301.0,151
"a00003317",0,49,"female",235,28,1,1,"1-2 year","no",35515.0,122
"a00003318",0,37,"male",76,28,1,1,"1-2 year","yes",46026.0,154
"a00003319",0,48,"female",185,28,1,0,"1-2 year","yes",2630.0,122
"a00003320",0,23,"female",153,43,1,1,"< 1 year","no",2630.0,151
"a00003321",0,24,"male",295,16,1,1,"< 1 year","no",33728.0,151
"a00003322",1,31,"female",125,4,1,0,"< 1 year","yes",23963.0,154
"a00003323",0,68,"male",160,46,1,1,"1-2 year","no",2630.0,122
"a00003324",1,53,"female",48,28,1,0,"1-2 year","yes",46379.0,122
"a00003325",0,25,"male",200,37,1,0,"< 1 year","no",40522.0,151
"a00003326",0,51,"male",281,15,1,0,"1-2 year","yes",32420.0,154
"a00003327",1,42,"male",216,28,1,0,"1-2 year","yes",48598.0,122
